# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_Seven_Segment
# Exportado en Sat Apr 03 10:44:00 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

entrance[7..0] | aa bb cc dd ee ff gg a b c d e f g
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
   00000000    | 1  1  1  1  1  1  0  1 1 1 1 1 1 0
   00000001    | 0  1  1  0  0  0  0  1 1 1 1 1 1 0
   00000010    | 1  1  0  1  1  0  1  1 1 1 1 1 1 0
   00000011    | 1  1  1  1  0  0  1  1 1 1 1 1 1 0
   00000100    | 0  1  1  0  0  1  1  1 1 1 1 1 1 0
   00000101    | 1  0  1  1  0  1  1  1 1 1 1 1 1 0
   00000110    | 1  0  1  1  1  1  1  1 1 1 1 1 1 0
   00000111    | 1  1  1  0  0  0  0  1 1 1 1 1 1 0
   00001000    | 1  1  1  1  1  1  1  1 1 1 1 1 1 0
   00001001    | 1  1  1  0  0  1  1  1 1 1 1 1 1 0
   00001010    | 1  1  1  0  1  1  1  1 1 1 1 1 1 0
   00001011    | 0  0  1  1  1  1  1  1 1 1 1 1 1 0
   00001100    | 1  0  0  1  1  1  0  1 1 1 1 1 1 0
   00001101    | 0  1  1  1  1  0  1  1 1 1 1 1 1 0
   00001110    | 1  0  0  1  1  1  1  1 1 1 1 1 1 0
   00001111    | 1  0  0  0  1  1  1  1 1 1 1 1 1 0
   00010000    | 1  1  1  1  1  1  0  0 1 1 0 0 0 0
   00010001    | 0  1  1  0  0  0  0  0 1 1 0 0 0 0
   00010010    | 1  1  0  1  1  0  1  0 1 1 0 0 0 0
   00010011    | 1  1  1  1  0  0  1  0 1 1 0 0 0 0
   00010100    | 0  1  1  0  0  1  1  0 1 1 0 0 0 0
   00010101    | 1  0  1  1  0  1  1  0 1 1 0 0 0 0
   00010110    | 1  0  1  1  1  1  1  0 1 1 0 0 0 0
   00010111    | 1  1  1  0  0  0  0  0 1 1 0 0 0 0
   00011000    | 1  1  1  1  1  1  1  0 1 1 0 0 0 0
   00011001    | 1  1  1  0  0  1  1  0 1 1 0 0 0 0
   00011010    | 1  1  1  0  1  1  1  0 1 1 0 0 0 0
   00011011    | 0  0  1  1  1  1  1  0 1 1 0 0 0 0
   00011100    | 1  0  0  1  1  1  0  0 1 1 0 0 0 0
   00011101    | 0  1  1  1  1  0  1  0 1 1 0 0 0 0
   00011110    | 1  0  0  1  1  1  1  0 1 1 0 0 0 0
   00011111    | 1  0  0  0  1  1  1  0 1 1 0 0 0 0
   00100000    | 1  1  1  1  1  1  0  1 1 0 1 1 0 1
   00100001    | 0  1  1  0  0  0  0  1 1 0 1 1 0 1
   00100010    | 1  1  0  1  1  0  1  1 1 0 1 1 0 1
   00100011    | 1  1  1  1  0  0  1  1 1 0 1 1 0 1
   00100100    | 0  1  1  0  0  1  1  1 1 0 1 1 0 1
   00100101    | 1  0  1  1  0  1  1  1 1 0 1 1 0 1
   00100110    | 1  0  1  1  1  1  1  1 1 0 1 1 0 1
   00100111    | 1  1  1  0  0  0  0  1 1 0 1 1 0 1
   00101000    | 1  1  1  1  1  1  1  1 1 0 1 1 0 1
   00101001    | 1  1  1  0  0  1  1  1 1 0 1 1 0 1
   00101010    | 1  1  1  0  1  1  1  1 1 0 1 1 0 1
   00101011    | 0  0  1  1  1  1  1  1 1 0 1 1 0 1
   00101100    | 1  0  0  1  1  1  0  1 1 0 1 1 0 1
   00101101    | 0  1  1  1  1  0  1  1 1 0 1 1 0 1
   00101110    | 1  0  0  1  1  1  1  1 1 0 1 1 0 1
   00101111    | 1  0  0  0  1  1  1  1 1 0 1 1 0 1
   00110000    | 1  1  1  1  1  1  0  1 1 1 1 0 0 1
