# Tabla de verdad
# Generado a partir de un circuito Sub_Seven_Segment_Decoder
# Exportado en Tue Apr 06 08:58:29 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
# %a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
# Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
# Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
# y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

Entrance[5..0] | da db dc dd de df dg ua ub uc ud ue uf ug
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    000000     | 1  1  1  1  1  1  0  1  1  1  1  1  1  0
    000001     | 0  1  1  0  0  0  0  1  1  1  1  1  1  0
    000010     | 1  1  0  1  1  0  1  1  1  1  1  1  1  0
    000011     | 1  1  1  1  0  0  1  1  1  1  1  1  1  0
    000100     | 0  1  1  0  0  1  1  1  1  1  1  1  1  0
    000101     | 1  0  1  1  0  1  1  1  1  1  1  1  1  0
    000110     | 1  0  1  1  1  1  1  1  1  1  1  1  1  0
    000111     | 1  1  1  0  0  0  0  1  1  1  1  1  1  0
    001000     | 1  1  1  1  1  1  1  1  1  1  1  1  1  0
    001001     | 1  1  1  0  0  1  1  1  1  1  1  1  1  0
    001010     | 1  1  1  1  1  1  0  0  1  1  0  0  0  0
    001011     | 0  1  1  0  0  0  0  0  1  1  0  0  0  0
    001100     | 1  1  0  1  1  0  1  0  1  1  0  0  0  0
    001101     | 1  1  1  1  0  0  1  0  1  1  0  0  0  0
    001110     | 0  1  1  0  0  1  1  0  1  1  0  0  0  0
    001111     | 1  0  1  1  0  1  1  0  1  1  0  0  0  0
    010000     | 1  0  1  1  1  1  1  0  1  1  0  0  0  0
    010001     | 1  1  1  0  0  0  0  0  1  1  0  0  0  0
    010010     | 1  1  1  1  1  1  1  0  1  1  0  0  0  0
    010011     | 1  1  1  0  0  1  1  0  1  1  0  0  0  0
    010100     | 1  1  1  1  1  1  0  1  1  0  1  1  0  1
    010101     | 0  1  1  0  0  0  0  1  1  0  1  1  0  1
    010110     | 1  1  0  1  1  0  1  1  1  0  1  1  0  1
    010111     | 1  1  1  1  0  0  1  1  1  0  1  1  0  1
    011000     | 0  1  1  0  0  1  1  1  1  0  1  1  0  1
    011001     | 1  0  1  1  0  1  1  1  1  0  1  1  0  1
    011010     | 1  0  1  1  1  1  1  1  1  0  1  1  0  1
    011011     | 1  1  1  0  0  0  0  1  1  0  1  1  0  1
    011100     | 1  1  1  1  1  1  1  1  1  0  1  1  0  1
    011101     | 1  1  1  0  0  1  1  1  1  0  1  1  0  1
    011110     | 1  1  1  1  1  1  0  1  1  1  1  0  0  1
    011111     | 0  1  1  0  0  0  0  1  1  1  1  0  0  1
    100000     | 1  1  0  1  1  0  1  1  1  1  1  0  0  1
    100001     | 1  1  1  1  0  0  1  1  1  1  1  0  0  1
    100010     | 0  1  1  0  0  1  1  1  1  1  1  0  0  1
    100011     | 1  0  1  1  0  1  1  1  1  1  1  0  0  1
    100100     | 1  0  1  1  1  1  1  1  1  1  1  0  0  1
    100101     | 1  1  1  0  0  0  0  1  1  1  1  0  0  1
    100110     | 1  1  1  1  1  1  1  1  1  1  1  0  0  1
    100111     | 1  1  1  0  0  1  1  1  1  1  1  0  0  1
    101000     | 1  1  1  1  1  1  0  0  1  1  0  0  1  1
    101001     | 0  1  1  0  0  0  0  0  1  1  0  0  1  1
    101010     | 1  1  1  0  1  1  1  0  1  1  0  0  1  1
    101011     | 1  1  1  1  0  0  1  0  1  1  0  0  1  1
    101100     | 0  1  1  0  0  1  1  0  1  1  0  0  1  1
    101101     | 1  0  1  1  0  1  1  0  1  1  0  0  1  1
    101110     | 1  0  1  1  1  1  1  0  1  1  0  0  1  1
    101111     | 1  1  1  0  0  0  0  0  1  1  0  0  1  1
    110000     | 1  1  1  1  1  1  1  0  1  1  0  0  1  1
    110001     | 1  1  1  0  0  1  1  0  1  1  0  0  1  1
    110010     | 1  1  1  1  1  1  0  1  0  1  1  0  1  1
    110011     | 0  1  1  0  0  0  0  1  0  1  1  0  1  1
    110100     | 1  1  0  1  1  0  1  1  0  1  1  0  1  1
    110101     | 1  1  1  1  0  0  1  1  0  1  1  0  1  1
    110110     | 0  1  1  0  0  1  1  1  0  1  1  0  1  1
    110111     | 1  0  1  1  0  1  1  1  0  1  1  0  1  1
    111000     | 1  0  1  1  1  1  1  1  0  1  1  0  1  1
    111001     | 1  1  1  0  0  0  0  1  0  1  1  0  1  1
    111010     | 1  1  1  1  1  1  1  1  0  1  1  0  1  1
    111011     | 1  1  1  0  0  1  1  1  0  1  1  0  1  1
    111100     | 1  1  1  1  1  1  0  1  0  1  1  1  1  1
    111101     | 0  1  1  0  0  0  0  1  0  1  1  1  1  1
    111110     | 1  1  0  1  1  0  1  1  0  1  1  1  1  1
    111111     | 1  1  1  1  0  0  1  1  0  1  1  1  1  1
