# Tabla de verdad
# Generado a partir de un circuito Binary_to_Two_7_Segment_Decoder
# Exportado en Tue Apr 06 12:39:11 COT 2021

# Consejos y notas sobre el formato:
# * Puede editar este archivo y luego importarlo de nuevo a Logisim!
# * Cualquier cosa después de un '#' es un comentario y será ignorado.
# * Las líneas en blanco y las líneas de separación (por ejemplo, ~~~~~~~) se ignoran.
%a * Mantener nombres de columnas simples (sin espacios, puntuación, etc.)
# * 'Nombre[N..0]' indica una variable de 1 bit N, mientras que
# 'Nombre' por sí mismo indica una variable de 1 bit.
Puedes usar'x' o'-' para indicar "no me importa" para ambos.
# bits de entrada y salida.
Puede utilizar la notación binaria (por ejemplo,'10100011xxxxxx') o
y o hexadecimal (por ejemplo, 'C3x'). Logisim averiguará cuál es cuál.

Entrance[5..0] | Display_2[6..0] Display_1[6..0]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    000000     |     0111111         0111111    
    000001     |     0000110         0111111    
    000010     |     1011011         0111111    
    000011     |     1001111         0111111    
    000100     |     1100110         0111111    
    000101     |     1101101         0111111    
    000110     |     1111101         0111111    
    000111     |     0000111         0111111    
    001000     |     1111111         0111111    
    001001     |     1100111         0111111    
    001010     |     0111111         0000110    
    001011     |     0000110         0000110    
    001100     |     1011011         0000110    
    001101     |     1001111         0000110    
    001110     |     1100110         0000110    
    001111     |     1101101         0000110    
    010000     |     1111101         0000110    
    010001     |     0000111         0000110    
    010010     |     1111111         0000110    
    010011     |     1100111         0000110    
    010100     |     0111111         1011011    
    010101     |     0000110         1011011    
    010110     |     1011011         1011011    
    010111     |     1001111         1011011    
    011000     |     1100110         1011011    
    011001     |     1101101         1011011    
    011010     |     1111101         1011011    
    011011     |     0000111         1011011    
    011100     |     1111111         1011011    
    011101     |     1100111         1011011    
    011110     |     0111111         1001111    
    011111     |     0000110         1001111    
    100000     |     1011011         1001111    
    100001     |     1001111         1001111    
    100010     |     1100110         1001111    
    100011     |     1101101         1001111    
    100100     |     1111101         1001111    
    100101     |     0000111         1001111    
    100110     |     1111111         1001111    
    100111     |     1100111         1001111    
    101000     |     0111111         1100110    
    101001     |     0000110         1100110    
    101010     |     1110111         1100110    
    101011     |     1001111         1100110    
    101100     |     1100110         1100110    
    101101     |     1101101         1100110    
    101110     |     1111101         1100110    
    101111     |     0000111         1100110    
    110000     |     1111111         1100110    
    110001     |     1100111         1100110    
    110010     |     0111111         1101101    
    110011     |     0000110         1101101    
    110100     |     1011011         1101101    
    110101     |     1001111         1101101    
    110110     |     1100110         1101101    
    110111     |     1101101         1101101    
    111000     |     1111101         1101101    
    111001     |     0000111         1101101    
    111010     |     1111111         1101101    
    111011     |     1100111         1101101    
    111100     |     0111111         1111101    
    111101     |     0000110         1111101    
    111110     |     1011011         1111101    
    111111     |     1001111         1111101    
